iter	Passed	Remaining
0	139	139092
1	139	69851
2	140	46712
3	141	35135
4	141	28184
5	142	23550
6	142	20241
7	143	17760
8	143	15830
9	144	14290
10	145	13043
11	145	11995
12	146	11107
13	146	10338
14	147	9674
15	147	9095
16	148	8584
17	148	8127
18	149	7719
19	150	7353
20	150	7021
21	151	6727
22	151	6452
23	152	6198
24	152	5966
25	153	5751
26	154	5555
27	154	5370
28	155	5196
29	155	5035
30	156	4883
31	156	4742
32	157	4609
33	157	4483
34	158	4365
35	158	4253
36	159	4148
37	160	4050
38	160	3957
39	161	3869
40	161	3784
41	162	3704
42	162	3626
43	163	3552
44	164	3480
45	164	3412
46	165	3347
47	165	3287
48	166	3227
49	166	3169
50	167	3113
51	167	3060
52	168	3008
53	169	2964
54	169	2916
55	170	2866
56	170	2827
57	171	2784
58	171	2741
59	172	2706
60	173	2668
61	173	2631
62	174	2595
63	175	2561
64	175	2528
65	176	2496
66	176	2463
67	177	2431
68	177	2401
69	178	2370
70	178	2341
71	179	2312
72	180	2286
73	180	2261
74	181	2236
75	181	2211
76	182	2185
77	182	2161
78	183	2137
79	183	2114
80	184	2092
81	184	2070
82	185	2049
83	186	2028
84	186	2008
85	187	1988
86	187	1969
87	188	1950
88	188	1931
89	189	1913
90	189	1897
91	190	1880
92	191	1864
93	191	1847
94	192	1831
95	192	1814
96	193	1799
97	193	1783
98	194	1767
99	194	1754
100	195	1740
101	195	1725
102	196	1711
103	197	1697
104	197	1683
105	197	1669
106	198	1656
107	199	1644
108	199	1631
109	200	1619
110	200	1607
111	201	1595
112	201	1583
113	202	1572
114	202	1560
115	203	1549
116	203	1538
117	204	1527
118	204	1517
119	205	1507
120	206	1497
121	206	1487
122	207	1477
123	207	1467
124	208	1458
125	208	1449
126	209	1440
127	210	1431
128	210	1422
129	211	1412
130	211	1403
131	212	1394
132	212	1386
133	213	1377
134	213	1369
135	214	1361
136	214	1353
137	215	1344
138	215	1336
139	216	1329
140	216	1321
141	217	1313
142	218	1306
143	218	1298
144	218	1289
145	219	1283
146	220	1278
147	220	1271
148	221	1265
149	222	1260
150	223	1255
151	223	1249
152	224	1242
153	225	1236
154	225	1229
155	226	1223
156	226	1216
157	227	1210
158	228	1206
159	228	1200
160	229	1194
161	229	1188
162	230	1182
163	230	1176
164	231	1170
165	231	1164
166	232	1159
167	233	1155
