iter	Passed	Remaining
0	116	116554
1	119	59437
2	121	40338
3	123	30806
4	127	25445
5	129	21497
6	131	18681
7	133	16549
8	134	14852
9	136	13484
10	137	12380
11	141	11638
12	142	10841
13	144	10161
14	145	9559
15	146	9030
16	147	8552
17	149	8129
18	150	7747
19	151	7414
20	152	7105
21	160	7153
22	162	6887
23	162	6628
24	164	6397
25	164	6180
26	165	5977
27	166	5787
28	167	5607
29	168	5438
30	170	5335
31	171	5189
32	172	5049
33	173	4919
34	174	4801
35	175	4692
36	176	4597
37	177	4499
38	178	4397
39	179	4300
40	179	4207
41	180	4121
42	181	4047
43	182	3972
44	184	3915
45	185	3844
46	186	3776
47	187	3717
48	188	3658
49	189	3598
50	190	3538
51	190	3478
52	191	3420
53	192	3365
54	192	3311
55	193	3263
56	194	3214
57	195	3168
58	195	3122
59	196	3077
60	197	3034
61	198	3003
62	200	2976
63	200	2938
64	201	2901
65	202	2864
66	203	2827
67	203	2791
68	204	2757
69	204	2723
70	205	2690
71	206	2659
72	207	2636
73	208	2609
74	209	2581
75	210	2553
76	210	2525
77	211	2498
78	212	2471
79	212	2445
80	214	2438
81	215	2417
82	216	2392
83	217	2371
84	218	2348
85	218	2325
86	219	2308
87	220	2288
88	221	2268
89	222	2248
90	223	2227
91	223	2207
92	224	2187
93	224	2167
94	226	2153
95	226	2135
96	227	2119
97	229	2109
98	230	2095
99	231	2079
100	231	2062
101	232	2045
102	233	2029
103	233	2014
104	234	1998
105	235	1985
106	236	1971
107	236	1956
108	237	1941
109	238	1927
110	238	1913
111	239	1900
112	240	1888
113	241	1874
114	241	1862
115	242	1849
116	243	1839
117	245	1834
118	246	1824
119	247	1813
120	247	1801
121	248	1788
122	249	1776
123	249	1764
124	250	1752
125	251	1741
126	251	1729
127	252	1720
128	253	1711
129	254	1700
130	254	1690
131	255	1680
132	256	1669
133	256	1659
134	257	1650
135	259	1651
136	260	1643
137	261	1635
138	262	1626
139	263	1616
140	264	1609
141	264	1599
142	265	1592
143	266	1583
144	267	1574
145	267	1565
146	268	1557
147	268	1548
148	269	1539
149	270	1531
150	271	1524
151	271	1516
152	272	1509
153	274	1505
154	275	1500
155	276	1493
156	276	1486
157	277	1479
158	278	1472
159	278	1464
160	279	1456
161	280	1449
162	281	1443
163	281	1435
164	282	1428
165	283	1422
166	283	1415
167	284	1409
168	285	1403
169	286	1396
170	286	1390
171	287	1384
172	288	1381
173	290	1377
174	291	1372
175	291	1367
176	292	1361
177	293	1355
178	294	1349
179	294	1342
180	295	1336
181	296	1334
182	297	1329
183	298	1324
184	299	1318
185	300	1312
186	300	1307
187	301	1301
188	302	1296
189	302	1291
